"Country/State","City","ICAO","Supplier","Gal From","Gal To","Exp Date","Estimated Price","Estimated Taxes","Estimated Total Price","Pre- Arr Req","Notes"
"Bahamas","EXUMA ISLAND","MYEF","ODYSSEY AVIATION","1","800","05-Mar-26","6.916","0","6.916",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil. 2) Ramps serviced:All Ramps 3) Additional Information: Nil. For more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","EXUMA ISLAND","MYEF","ODYSSEY AVIATION","801","1500","05-Mar-26","6.866","0","6.866",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil. 2) Ramps serviced:All Ramps 3) Additional Information: Nil. For more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","EXUMA ISLAND","MYEF","ODYSSEY AVIATION","1501","3000","05-Mar-26","6.816","0","6.816",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil. 2) Ramps serviced:All Ramps 3) Additional Information: Nil. For more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","EXUMA ISLAND","MYEF","ODYSSEY AVIATION","3001","999999999","05-Mar-26","6.766","0","6.766",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil. 2) Ramps serviced:All Ramps 3) Additional Information: Nil. For more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NORTH ELEUTHERA","MYEH","WHITE CROWN AVIATION","1","999999999","24-Feb-26","6.5803","0","6.5803",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil. 2) Ramps serviced:Only GA Ramp 3) Additional Information: Nil. for more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","FREEPORT","MYGF","FREEPORT AIRPORT DEV CO LTD","1","999999999","07-Mar-26","6.437","0","6.437",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced: All Ramps 3) Additional Information: Nil for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","ODYSSEY AVIATION","1","800","05-Mar-26","5.4096","0","5.4096",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:Only Odissey Ramp 3) Additional Information: After 2100 local-Overtime Fee will be charged Base On The Aircraft Type for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","ODYSSEY AVIATION","801","1500","05-Mar-26","5.3596","0","5.3596",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:Only Odissey Ramp 3) Additional Information: After 2100 local-Overtime Fee will be charged Base On The Aircraft Type for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","ODYSSEY AVIATION","1501","3000","05-Mar-26","5.3096","0","5.3096",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:Only Odissey Ramp 3) Additional Information: After 2100 local-Overtime Fee will be charged Base On The Aircraft Type for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","ODYSSEY AVIATION","3001","999999999","05-Mar-26","5.2596","0","5.2596",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:Only Odissey Ramp 3) Additional Information: After 2100 local-Overtime Fee will be charged Base On The Aircraft Type for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","JET NASSAU","1","1500","11-Mar-26","4.9196","0","4.9196",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:All Ramps 3) Additional Information: Operational hours: 24/7 for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","JET NASSAU","1501","3000","11-Mar-26","4.7696","0","4.7696",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:All Ramps 3) Additional Information: Operational hours: 24/7 for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","JET NASSAU","3001","999999999","11-Mar-26","4.5796","0","4.5796",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:All Ramps 3) Additional Information: Operational hours: 24/7 for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","SAN SALVADOR","MYSM","JET NASSAU","1","999999999","17-Mar-26","9.16","0","9.16",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/N/A"
"Barbados","BRIDGETOWN","TBPB","IAM CARIBBEAN INC","1","999999999","01-Mar-26","3.3408","0","3.3408",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/JET-A available ONLY 1) Minimum Notice Required: Nil 2) Ramps serviced: Own ramp. Cannot fuel if the handler is M-JETS 3) Additional Information: Corporate Flights Only for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Barbados","BRIDGETOWN","TBPB","MJET AVIATION INC","1","999999999","08-Mar-26","3.4708","0","3.4708",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/JET-A available ONLY 1) Minimum Notice Required: 6 Hours from Private flight/ 48 hours for Commercial flight. 2) Ramps serviced: Fuel is provided to aircrafts they handle at their facility only. 3) Additional Information: Nil. for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Barbados","BRIDGETOWN","TBPB","PRIVATE AIRCRAFT SERVICES, INC.","1","999999999","01-Mar-26","3.3708","0","3.3708",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/JET-A available ONLY 1) Minimum Notice Required: Nil 2) Ramps serviced: Own Ramp 3) Additional Information: Corporate Flights Only for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Barbados","BRIDGETOWN","TBPB","RUBIS","1","999999999","08-Mar-26","3.903","0","3.903",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/N/A"
"Bermuda","SAINT GEORGES","TXKF","SOL AVIATION SERVICES LTD-APRON 4","1","999999999","08-Mar-26","3.7754","0","3.7754",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required: Nil. 2) Ramps serviced: Apron-4 3) Additional Information: Nil. For more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bonaire, Sint Eustatius and Saba","BONAIRE","TNCB","CUROIL","1","999999999","10-Mar-26","4.3506","0","4.3506",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required: At least 30 min in advance 2) Ramps serviced: All. 3) Additional Information: General aviation ramp operated by Jet Centre Curacao For more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Canada","SAULT STE MARIE","CYAM","EXECUTIVE AVIATION FUELS LTD","1","999999999","16-Mar-26","5.17375","0.8835349","6.05728",," **Price for fuel item: JETA-ADDITIVE**/1) Operating Hours:HRS: 0600-1900 DAILY. AVBL AFTER HR CALL OUT CHARGE APPLY 249-889-1244 2) Ramps serviced:ALL 3) Additional Information: FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","SAULT STE MARIE","CYAM","EXECUTIVE AVIATION FUELS LTD","1","999999999","16-Mar-26","5.11803","0.8762949","5.99432",," **Price for fuel item: JET FUEL**/1) Operating Hours:HRS: 0600-1900 DAILY. AVBL AFTER HR CALL OUT CHARGE APPLY 249-889-1244 2) Ramps serviced:ALL 3) Additional Information: FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","SAULT STE MARIE","CYAM","AVJET","1","999999999","16-Mar-26","5.32956","0.9037945","6.23335",," **Price for fuel item: JET FUEL**/N/A"
"Canada","BALE COMEAU","CYBC","AVJET","1","999999999","16-Mar-26","6.61696","1.215137001","7.8321",," **Price for fuel item: JETA-ADDITIVE**/1) Minimum Notice Required: CALL AN HOUR AHEAD FOR FUEL AFTER OPERATING HOURS, PLEASE CALL FUEL24 2) Ramps serviced: GA & COMM RAMP 3) Additional Information: Call FBO for fees/ after hours for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Canada","BAGOTVILLE","CYBG","AVJET","1","999999999","16-Mar-26","6.2063","1.153640666","7.35994",," **Price for fuel item: JET FUEL**/1) Fuel Operating Hours:0500-1900L M-F 0800-1600L Weekends 2) Ramps serviced:Civilian side only 3) Additional Information: N/A FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","CHATHAM","CYCH","AIRPORT AUTHORITY","1","999999999","16-Mar-26","6.48111","1.180448","7.66156",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:EVERYWHERE ON THE AIRFIELD 3) Operating Hours: 0700L - 1900L M - F, 0800L - 1800L WEEKENDS 4) Additional Information: FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com .."
"Canada","CHARLO","CYCL","AVJET","1","999999999","16-Mar-26","5.70817","1.064502","6.77267",," **Price for fuel item: JETA-ADDITIVE**/1) Minimum Notice Required:NONE 2) Ramps serviced:ALL RAMPS 3) Additional Information: PRIST: Pre-mixed FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","DEER LAKE","CYDF","WOODWARD AVIATION SERVICES","1","264.17","16-Mar-26","6.05211","1.116093","7.1682",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:OWN RAMP 11) Additional Information: FSII/Prist Available //UNICOM: 122.20 ** OPERATES 24HRS For more information please contact your local fuel logistics team on fuel24@wfscorp.com .."
"Canada","DEER LAKE","CYDF","WOODWARD AVIATION SERVICES","264.18","528.34","16-Mar-26","5.71759","1.065915","6.78351",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:OWN RAMP 11) Additional Information: FSII/Prist Available //UNICOM: 122.20 ** OPERATES 24HRS For more information please contact your local fuel logistics team on fuel24@wfscorp.com .."
"Canada","DEER LAKE","CYDF","WOODWARD AVIATION SERVICES","528.35","1320.86","16-Mar-26","5.49457","1.032462","6.52703",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:OWN RAMP 11) Additional Information: FSII/Prist Available //UNICOM: 122.20 ** OPERATES 24HRS For more information please contact your local fuel logistics team on fuel24@wfscorp.com .."
"Canada","DEER LAKE","CYDF","WOODWARD AVIATION SERVICES","1320.87","3170.06","16-Mar-26","5.35519","1.011555","6.36675",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:OWN RAMP 11) Additional Information: FSII/Prist Available //UNICOM: 122.20 ** OPERATES 24HRS For more information please contact your local fuel logistics team on fuel24@wfscorp.com .."
"Canada","DEER LAKE","CYDF","WOODWARD AVIATION SERVICES","3170.07","6604.3","16-Mar-26","5.2158","0.9906465","6.20645",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:OWN RAMP 11) Additional Information: FSII/Prist Available //UNICOM: 122.20 ** OPERATES 24HRS For more information please contact your local fuel logistics team on fuel24@wfscorp.com .."
"Canada","DEER LAKE","CYDF","WOODWARD AVIATION SERVICES","6604.4","999999999","16-Mar-26","5.07642","0.9697395","6.04616",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:OWN RAMP 11) Additional Information: FSII/Prist Available //UNICOM: 122.20 ** OPERATES 24HRS For more information please contact your local fuel logistics team on fuel24@wfscorp.com .."
"Canada","EDMONTON","CYEG","EDMONTON SHELL AEROCENTRE","1","1585.3","16-Mar-26","4.91134","0.406465","5.31781",,"**Perflight Fees are not included.  HOOK-UP FEE: 33.12233** **Price for fuel item: JETA-ADDITIVE**/1) Minimum Notice Required: NONE 2) Ramps serviced: ONLY THE SHELL RAMP 3) Additional Information: PRIST AVAILABLE There is a 100 CAD no fuel surcharge fee FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","EDMONTON","CYEG","EDMONTON SHELL AEROCENTRE","1585.4","999999999","16-Mar-26","4.71134","0.396465","5.10781",,"**Perflight Fees are not included.  HOOK-UP FEE: 33.12233** **Price for fuel item: JETA-ADDITIVE**/1) Minimum Notice Required: NONE 2) Ramps serviced: ONLY THE SHELL RAMP 3) Additional Information: PRIST AVAILABLE There is a 100 CAD no fuel surcharge fee FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","EDMONTON","CYEG","EDMONTON SHELL AEROCENTRE","1","1585.3","16-Mar-26","4.81634","0.401715","5.21806",,"**Perflight Fees are not included.  HOOK-UP FEE: 33.12233** **Price for fuel item: JET FUEL**/1) Minimum Notice Required: NONE 2) Ramps serviced: ONLY THE SHELL RAMP 3) Additional Information: PRIST AVAILABLE There is a 100 CAD no fuel surcharge fee FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","EDMONTON","CYEG","EDMONTON SHELL AEROCENTRE","1585.4","999999999","16-Mar-26","4.61634","0.391715","5.00806",,"**Perflight Fees are not included.  HOOK-UP FEE: 33.12233** **Price for fuel item: JET FUEL**/1) Minimum Notice Required: NONE 2) Ramps serviced: ONLY THE SHELL RAMP 3) Additional Information: PRIST AVAILABLE There is a 100 CAD no fuel surcharge fee FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","EDMONTON","CYEG","EXECUTIVE FLIGHT CENTRE","1","999999999","16-Mar-26","4.30028","0.375916","4.6762",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:NONE 2) Ramps serviced:Own ramp 3) Additional Information: Unicom 122.95 FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com . ."
"Canada","EDMONTON","CYEG","AIRSIDE FLIGHT SERVICES","1","999999999","16-Mar-26","4.59675","0.3907415","4.98749",," **Price for fuel item: JET FUEL**/N/A"
"Canada","FROBISHER BAY","CYFB","FROBISHER BAY TOUCHDOWN SERVICES","1","999999999","22-Jan-26","99999","99999","99999",,"Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**/1) Minimum Notice Required: 24 hours preferred 2) Ramps serviced: OWN RAMP 3) Additional Information: Prist is available. Call FBO in advance to arrange fuel, after hours service is also available. FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
