"ICAO","IATA","BASE_PRICE","USG_FROM","USG_TO","INTO PLANE FEE","SUPPLIER","EXCISE TAX","VAT","MOT_GAL","AIRPORT FEES","FLIGHT TYPE","TOTAL PRICE USD","EFFECTIVE DATE","EXPIRATION DATE","DISC","NOTES1"
"CYHU","YHU","6.2402","132","264","","Pascan Aviation","","","","","ALL","6.2402","3/3/2026","3/10/2026","","Valid: 3/3/2026 - 3/10/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $150 AFTER HRS FEE . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYHU","YHU","6.0771","264","528","","Pascan Aviation","","","","","ALL","6.0771","3/3/2026","3/10/2026","","Valid: 3/3/2026 - 3/10/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $150 AFTER HRS FEE . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYHU","YHU","5.914","528","26416","","Pascan Aviation","","","","","ALL","5.914","3/3/2026","3/10/2026","","Valid: 3/3/2026 - 3/10/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $150 AFTER HRS FEE . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYHZ","YHZ","6.3808","1","26416","","Gateway","","","","","ALL","6.3808","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. Gateway is only able to assist with uplifts on their own ramp - not on all FBO RAMP Fuelings. JET WITH ADDITIVE INCURS HIGHER PRICING. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYHZ","YHZ","6.2197","1","1320","","Pal Aviation Services","","","","","ALL","6.2197","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. ADDITIVE NOT INCLUDED. 25 CAD HOOKUP FEE..LESS THAN DC-9. Valid for Atlantic Sky Service. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYHZ","YHZ","6.2197","1321","13208","","Pal Aviation Services","","","","","ALL","6.2197","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. ADDITIVE NOT INCLUDED. 25 CAD HOOKUP FEE..LESS THAN DC-9. Valid for Atlantic Sky Service. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYHZ","YHZ","6.2197","13209","999999","","Pal Aviation Services","","","","","ALL","6.2197","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. ADDITIVE NOT INCLUDED. 25 CAD HOOKUP FEE..LESS THAN DC-9. Valid for Atlantic Sky Service. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYHZ","YHZ","6.3308","1","26416","","Shell Aerocenter","","","","","ALL","6.3308","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. 45 CAD HOOKUP FEE. NO FUEL FEE 100CAD/LIFT. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYKF","YKF","7.4689","1","264171","","Chartright Air Inc","","","","","ALL","7.4689","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. Operating Hours: 0500 to 2100 Callout fee applies for uplifts outside of regular business hours. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYKF","YKF","7.1499","1","26416","","Fliteline Services","","","","","ALL","7.1499","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. 45 CAD HOOKUP FEE ADDITIONAL. 100 CAD NO FUEL FEE. 225 CAD CALL OUT CHARGE . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYLS","YLS","8.307","1","999999","","Chartright Air Inc","","","","","ALL","8.307","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYLW","YLW","6.7185","1","1585","","Kelowna Shell Aerocentre","","","","","ALL","6.7185","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. 45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE. 100 CAD NO FUEL FEE..0.025 CAD/LTR ADDITIVE FEE. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYLW","YLW","6.5055","1585","264171","","Kelowna Shell Aerocentre","","","","","ALL","6.5055","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. 45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE. 100 CAD NO FUEL FEE..0.025 CAD/LTR ADDITIVE FEE. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYMT","YMT","7.3641","1","99999","","Chibougamau-Chapais Airport","","","","","ALL","7.3641","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $300CALLOUT FEE WHEN APPLICABLE . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYMX","YMX","7.1152","1","26416","","Helibellule","","","","","ALL","7.1152","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $35 CAD HOOKUP FEE. ADDITIONAL ITP OF .20 CAN/LTR BETWEEN 0 - 1000 LITERS. ADDITIONAL ITP OF .10 CAN/LTR BETWEEN 1000 - 4000 LITERS. During closed Hrs minimum 2500 L or 250 $ fee . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYND","YND","6.2085","1","99999","","Gatineau - Ottawa Executive Airport","","","","","ALL","6.2085","3/6/2026","3/13/2026","","Valid: 3/6/2026 - 3/13/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. PRICING SUBJECT TO CHANGE AT ANY TIME. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYOO","YOO","5.9992","1","264","","Enterprise Airlines Inc","","","","","ALL","5.9992","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. PRICING IS SUBJECT TO CHANGE DAILY AND AT ANY TIME. IN ORDER TO EXEMPT OF FET AND GST/HST A FLIGHT CREW MUST BE PROVIDE PROOF OF EXPORT FROM CANADA BY: K36A OR SUBSTITUTE K36A PER FLIGHT SUBMITTED TO AVFUEL. .FLIGHT MUST BE FOR THE PURPOSE OF TRANSPORTING PASSENGERS OR GOODS. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYOO","YOO","5.9358","265","396","","Enterprise Airlines Inc","","","","","ALL","5.9358","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. PRICING IS SUBJECT TO CHANGE DAILY AND AT ANY TIME. IN ORDER TO EXEMPT OF FET AND GST/HST A FLIGHT CREW MUST BE PROVIDE PROOF OF EXPORT FROM CANADA BY: K36A OR SUBSTITUTE K36A PER FLIGHT SUBMITTED TO AVFUEL. .FLIGHT MUST BE FOR THE PURPOSE OF TRANSPORTING PASSENGERS OR GOODS. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYOO","YOO","5.8724","397","528","","Enterprise Airlines Inc","","","","","ALL","5.8724","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. PRICING IS SUBJECT TO CHANGE DAILY AND AT ANY TIME. IN ORDER TO EXEMPT OF FET AND GST/HST A FLIGHT CREW MUST BE PROVIDE PROOF OF EXPORT FROM CANADA BY: K36A OR SUBSTITUTE K36A PER FLIGHT SUBMITTED TO AVFUEL. .FLIGHT MUST BE FOR THE PURPOSE OF TRANSPORTING PASSENGERS OR GOODS. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYOO","YOO","5.7773","529","99999","","Enterprise Airlines Inc","","","","","ALL","5.7773","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. PRICING IS SUBJECT TO CHANGE DAILY AND AT ANY TIME. IN ORDER TO EXEMPT OF FET AND GST/HST A FLIGHT CREW MUST BE PROVIDE PROOF OF EXPORT FROM CANADA BY: K36A OR SUBSTITUTE K36A PER FLIGHT SUBMITTED TO AVFUEL. .FLIGHT MUST BE FOR THE PURPOSE OF TRANSPORTING PASSENGERS OR GOODS. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYOW","YOW","5.7859","1","99999","","AEROCENTRE - Jet","","","","","ALL","5.7859","3/10/2026","3/16/2026","D","Valid: 3/10/2026 - 3/16/2026 Subject to change based on exchange rate fluctuations.  Jet A-1. No Fuel Required Fee 100 USD."
"CYOW","YOW","5.8494","1","99999","","AEROCENTRE - Jet w Additive","","","","","ALL","5.8494","3/10/2026","3/16/2026","D","Valid: 3/10/2026 - 3/16/2026 Subject to change based on exchange rate fluctuations.  Jet w/Add. No Fuel Required Fee 100 USD."
"CYOW","YOW","6.2685","1","99999","","Skyservice Business Aviation","","","","","ALL","6.2685","3/10/2026","3/17/2026","D","Valid: 3/10/2026 - 3/17/2026  Price is CAD based using rate of 1.35585. Subject to change based on exchange rate fluctuations. Subject to change without prior notification.  "
"CYQA","YQA","7.4021","1","99999","","Muskoka Airport","","","","","ALL","7.4021","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026 Subject to change based on exchange rate fluctuations. Subject to change without prior notification.  24 H prior notice required. Call out will apply for after hours refueling."
"CYQB","YQB","5.739","1","99999","","Afs Executive","","","","","ALL","5.739","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. DE-ICING FEE: $0.17 C CDN per liter for Type 1 Fluid and by $0.09 C CDN per liter for Type 4 Fluid. . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYQB","YQB","6.0623","1","99999","","Avjet - Yqb","","","","","ALL","6.0623","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $300CALLOUT FEE WHEN APPLICABLE . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYQB","YQB","5.7971","1","99999","","Lux Fbo","","","","","ALL","5.7971","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026 Subject to change based on exchange rate fluctuations. Subject to change without prior notification.  Subject to change without prior notification."
"CYQB","YQB","6.2256","1","99999","","Transol Aviation","","","","","ALL","6.2256","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. $300CALLOUT FEE WHEN APPLICABLE. A/C PARKING ON THE TRANSOL RAMP MUST BE NOTED ON FUEL RELEASE. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYQG","YQG","7.4922","1","99999","","Gateway Aviation Windsor","","","","","ALL","7.4922","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026 Subject to change based on exchange rate fluctuations. Subject to change without prior notification.  Can refuel on Great Lakes FBO ramp for an additional ramp fee."
"CYQI","YQI","9.3733","1","999999","","Yarmouth Airport Commission","","","","","ALL","9.3733","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. . Local supplier charges 12% Admin fee on all non-fuel related items."
"CYQK","YQK","7.1007","1","1585","","Kenora Airport","","","","","ALL","7.1007","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. 100 CAD NO FUEL FEE. 225 CAD CALLOUT FEE.$45 Hookup Fee. FUEL WITH AEROJET / ADDITIVE INCURS HIGHER PRICING. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYQK","YQK","6.8716","1585","26416","","Kenora Airport","","","","","ALL","6.8716","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. 100 CAD NO FUEL FEE. 225 CAD CALLOUT FEE.$45 Hookup Fee. FUEL WITH AEROJET / ADDITIVE INCURS HIGHER PRICING. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYQL","YQL","6.6457","1","99999","","Aero Southern Aviation","","","","","ALL","6.6457","3/10/2026","3/17/2026","","Valid: 3/10/2026 - 3/17/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. ADDITIVE NOT INCLUDED.LESS THAN DC-9 . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYQL","YQL","4.9868","1","264","","Air West Flight Support","","","","","ALL","4.9868","3/1/2026","3/8/2026","","Valid: 3/1/2026 - 3/8/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. PRICE IS SUBJECT TO CHANGE AT ANY TIME. . Local supplier charges a 12% admin fee on all non-fuel related items."
"CYQL","YQL","4.8974","264","264171","","Air West Flight Support","","","","","ALL","4.8974","3/1/2026","3/8/2026","","Valid: 3/1/2026 - 3/8/2026  Uplifts under 500 USG can attract a 50USD Hook-up Fee. PRICE IS SUBJECT TO CHANGE AT ANY TIME. . Local supplier charges a 12% admin fee on all non-fuel related items."
