IATA,ICAO,ST/CO,CITY,FUELER,UPDATED,RESTRICTIONS,BASEFUEL,MIN GALLONS,MAX GALLONS,TOTAL PRICE,NOTES,Taxes Included
BRU,EBBR,BE,BRUSSELS,ABELAG HANDLING NV/SA,3/1/2026,Corporate,5.515474,1,99999,10.202388,PRIVATE/INTERNAL FLIGHTS INCUR EXCISE DUTY AND VAT. ,No
BRU,EBBR,BE,BRUSSELS,ABELAG LUXAVIATION,3/3/2026,Corporate,3.289646,1,99999,7.668729,"PRIVATE/INTERNAL FLIGHTS INCUR EXCISE DUTY AND VAT. 28 EUR/UPLIFT HOOKUP FEE

GROUND HANDLING 3.49 EUR/uplift ",No
BRU,EBBR,BE,BRUSSELS,SKYTANKING BRUSSELS,3/1/2026,Corporate,CALL,1,99999,CALL,PRIVATE/INTERNAL FLIGHTS INCUR EXCISE DUTY AND VAT. STANDARD HOOK UP FEE 26.55 EUR/OPS. *GA/MILITARY APRON FUELING HOOK UP FEE 95.96 EUR/FLT (ADDITIONAL). NO FUEL FEE 26.55 EUR/TIME. DEFUEL FEE 47.27 EUR/M3. LTR: USG CONVERSION OF 3.781 IS UTILIZED FOR ALL UPLIFTS. MELSBROEK AIR BASE (ICAO: EBMB) SHARES PROPERTY WITH BRUSSELS AIRPORT. ALL AIRCRAFT OPERATING TO MILITARY APRON SHOULD BE ASSIGNED ICAO EBMB. ALL AIRCRAFT OPERATING TO CIVILIAN APRON SHOULD BE ASSIGNED EBBR. BAC FEE: 3.39 EUR/PER AIRCRAFT FOR COMMERCIAL AND CARGO FLIGHTS ONLY. SMALL QUANTITY: 31.85 EUR/OPERATION. NIGHT SURCHARGE 22:00 TO 06:00 HRS: 159.27 EUR/OPERATION. CAN FUEL ON EXECUJET'S RAMP. NOZZLE REFUELING 40.00 EURO/OPERATION. DUTY PRIVATE FLIGHTS 632.5307 EURO//M3. ,Yes
CRL,EBCI,BE,CHARLEROI,BRUSSELS SOUTH CHARLEROI,3/3/2026,Corporate,2.668400,264,26416935,7.219432,PRIVATE/INTERNAL FLIGHTS INCUR EXCISE DUTY AND VAT. 30 EURO HOOKUP FEE. 15 USC/USG DEFUELING CHARGE WHEN APPLICABLE ,Yes
BCV,EBCV,BE,HAINAUT,SHAPE OPS,3/3/2026,Corporate,3.027500,1,999999,3.663275,ALL REQUESTS FOR PRICING AND AUTHORIZATION MUST BE VALIDATED THROUGH DISPATCH@AEGFUELS.COM WITH NO LESS THAN 48 HOURS NOTICE FOR FUELINGS M-F AND 72 HOURS FOR WEEKEND FUELINGS. ,No
KJK,EBKT,BE,KORTRIJK,FLANDERS INTERNATIONAL,3/1/2026,Corporate,4.762374,1,1584,9.220837,PRICING SUBJECT TO CHANGE AT ANY TIME AND MAY FLUCTUATE WITH EXCHANGE RATES. 80.00EU FUELING FEE FOR UPLIFTS BEFORE 6:00 LT. 70 EUR ADDITIONAL FEE FOR UPLIFTING ON WEEKENDS ,Yes
KJK,EBKT,BE,KORTRIJK,FLANDERS INTERNATIONAL,3/1/2026,Corporate,4.762374,1585,26416,8.949154,PRICING SUBJECT TO CHANGE AT ANY TIME AND MAY FLUCTUATE WITH EXCHANGE RATES. 80.00EU FUELING FEE FOR UPLIFTS BEFORE 6:00 LT. 70 EUR ADDITIONAL FEE FOR UPLIFTING ON WEEKENDS ,Yes
LGG,EBLG,BE,LIEGE,LIEGE AIRPORT,3/3/2026,Corporate,2.692167,264,26416935,7.061055,"PRIVATE/INTERNAL FLIGHTS INCUR EXCISE DUTY AND VAT. 30 EUR HOOKUP FEE. LOW FUEL (LVF): 33.50 EUR/uplift
for uplift < 1000 LT ",No
MIL,EBMB,BE,BRUSSELS,SKYTANKING BRUSSELS,3/1/2026,Corporate,2.643068,1,99999,6.946317,PRIVATE/INTERNAL FLIGHTS INCUR EXCISE DUTY AND VAT. STANDARD HOOK UP FEE 26.55 EUR/OPS. *GA/MILITARY APRON FUELING HOOK UP FEE 95.56 EUR/FLT (ADDITIONAL). NO FUEL FEE 26.55 EUR/TIME. DEFUEL FEE 47.27 EUR/M3. LTR: USG CONVERSION OF 3.781 IS UTILIZED FOR ALL UPLIFTS. MELSBROEK AIR BASE (ICAO: EBMB) SHARES PROPERTY WITH BRUSSELS AIRPORT. ALL AIRCRAFT OPERATING TO MILITARY APRON SHOULD BE ASSIGNED ICAO EBMB. ALL AIRCRAFT OPERATING TO CIVILIAN APRON SHOULD BE ASSIGNED EBBR. BAC FEE: 3.49 EUR/PER AIRCRAFT FOR COMMERCIAL AND CARGO FLIGHTS ONLY. SMALL QUANTITY: 31.85 EUR/OPERATION. NIGHT SURCHARGE 22:00 TO 06:00 HRS: 159.27 EUR/OPERATION. CAN FUEL ON EXECUJET'S RAMP. NOZZLE REFUELING 40.00 EURO/OPERATION. DUTY PRIVATE FLIGHTS 632.5307 EURO//M3. ,Yes
OST,EBOS,BE,OOSTENDE,TNA SERVICES,3/3/2026,Corporate,2.705503,1,264,8.321373,"PRIVATE/INTERNAL FLIGHTS INCUR EXCISE DUTY AND VAT. 30 EUR HOOKUP FEE.
Opening hours : - from 05:00 – 22:00 local time, - between 22:00 - 05:00 Standby service ",No
OST,EBOS,BE,OOSTENDE,TNA SERVICES,3/3/2026,Corporate,2.705503,264,792,7.546278,"PRIVATE/INTERNAL FLIGHTS INCUR EXCISE DUTY AND VAT. 30 EUR HOOKUP FEE.
Opening hours : - from 05:00 – 22:00 local time, - between 22:00 - 05:00 Standby service ",No
OST,EBOS,BE,OOSTENDE,TNA SERVICES,3/3/2026,Corporate,2.705503,792,1320,7.297816,"PRIVATE/INTERNAL FLIGHTS INCUR EXCISE DUTY AND VAT. 30 EUR HOOKUP FEE.
Opening hours : - from 05:00 – 22:00 local time, - between 22:00 - 05:00 Standby service ",No
OST,EBOS,BE,OOSTENDE,TNA SERVICES,3/3/2026,Corporate,2.705503,1321,26416,7.033149,"PRIVATE/INTERNAL FLIGHTS INCUR EXCISE DUTY AND VAT. 30 EUR HOOKUP FEE.
Opening hours : - from 05:00 – 22:00 local time, - between 22:00 - 05:00 Standby service ",No
AOC,EDAC,DE,Nobitz,AIR BP AGENCY,3/3/2026,Corporate,5.717771,1,999999,11.199861,"C02 TAX 138.05 EUR/CM WHEN APPLICABLE.

AOC AND OPSPECS REQUIRED TO EXEMPT TAX CHARGES.
IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
ZMG,EDBM,DE,MAGDEBURG,AIR BP,3/3/2026,Corporate,5.727371,1,99999,11.211285,"THIS PRICE IS EXCLUSIVE OF CURRENT DUTIES, FEES AND TAXES WHICH MAY BE CHANGED AT ANY TIME IN LINE WITH CHANGES BY AUTHORITIES, AIRPORT AUTHORITIES, ITP OR DEPOT OPERATORS. A VALID AOC AND OPSPECS MUST BE SHOWN AT THE TIME OF FUELING TO AVOID MOT CHARGES.

HOOKUP FEE 10 EUR/UPLIFT. C02 TAX 112.95  EUR/CM. ENERGY TAX 654.5 EUR/CM. NO FUEL FEE 100 EUR/UPLIFT.
IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
FNB,EDBN,DE,NEUBRANDENBURG,AIR BP,3/2/2026,Corporate,5.723771,1,999999,11.207001,"THIS PRICE IS EXCLUSIVE OF CURRENT DUTIES, FEES AND TAXES WHICH MAY BE CHANGED AT ANY TIME IN LINE WITH CHANGES BY AUTHORITIES, AIRPORT AUTHORITIES, ITP OR DEPOT OPERATORS.

AOC AND OPSPECS REQUIRED TO EXEMPT TAX CHARGES.
IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
BER,EDDB,DE,BERLIN BRANDENBURG INTL,GFS GERMAN FUEL SERVICE GmbH,3/1/2026,Corporate,2.942218,1,99999,8.548281,"GA Terminal has limited number of positions, all a/c parked for a time or overnight will be towed to a GA parking area at the other end of BER. These dedicated parking positions are not serviceable so fuelling (and all other services) will be performed at the positions in front of the GA Terminal. HOOK UP FEE 75.00 EUR/UPLIFT, LOW VOLUME FEE BELOW 1.000 LTR of 45.00 EUR.NO FUEL FEE 45.00 EUR . ADHOC PRICE 150 EUR

AOC AND OPSPECS REQUIRED TO EXEMPT TAX CHARGES.
IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
BER,EDDB,DE,BERLIN BRANDENBURG INTL,SKYTANKING / TOTAL ENERGIES AVIATION,3/3/2026,Corporate,2.889739,1,99999,8.139459,"PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. HOOK UP FEE 80.34 EUR. NO SERVICE FEE 50 EUR/UPLIFT. LOW UPLIFT FEE 50 EUR/UPLIFT FOR UPLIFT < 1000 LT. DEFUELING CHARGE 50 EUR/UPLIFT ADM. CHARGE + 30 EUR/M3 + 200 EUR OFF SPEC ET NON ORIGINE UE GÉRÉ PAR DV.

AOC AND OPSPECS REQUIRED TO EXEMPT TAX CHARGES.
IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",Yes
DRS,EDDC,DE,DRESDEN,SKYTANKING / TOTAL ENERGIES AVIATION,3/3/2026,Corporate,3.423664,1,99999,8.722134,"PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. 90 EURO HOOKUP FEE. 30 EURO LOW UPLIFT FEE FOR COMMERCIAL UPLIFTS < 1000LTRS. 30 EURO NO SERVICE FEE AND 260 EURO OVERTIME FEE AND WHEN APPLICABLE

DEFUELING (DEF): 500 EUR/uplift + 500,00 EUR/day of storage ",No
ERF,EDDE,DE,ERFURT,FLUGHAFEN ERFURT WEIMAR GmbH*,3/1/2026,Corporate,6.542498,1,99999,12.181286,"PRICE INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE AT ANY TIME. A VALID AOC AND OPSPECS MUST BE SHOWN AT THE TIME OF FUELING TO AVOID MOT CHARGES. FOR AIRCRAFT UNDER 12 TONNES, A PERMIT FROM GERMAN CUSTOMS IS REQUIRED TO AVOID MOT CHARGES.IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
FRA,EDDF,DE,FRANKFURT / FRA,AIR BP VIA AFS-GA,3/1/2026,Corporate,2.609165,1,99999,7.751465,"GENERAL AVIATION AND MILITARY FUELINGS. HOOK-UP FEE 79.31 EUR PER UPLIFT. NO FUEL FEE OF 26.39 EUR PER UPLIFT. PRICING SUBJECT TO CHANGE AT ANY TIME WITHOUT PRIOR NOTICE. A VALID AOC MUST BE SHOWN AT THE TIME OF FUELING TO AVOID MOT CHARGES. FOR AIRCRAFT UNDER 12 TONNES, A PERMIT FROM GERMAN CUSTOMS IS REQUIRED TO AVOID MOT CHARGES. GA FUELLING FEE 78.03 EUR AS APPLICABLE.IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY. NOZZLE FEE 51.50 EUR. 158.36 EUR OUT OF HOURS FEE ",No
FRA,EDDF,DE,FRANKFURT / FRA,AVIATION FUEL SERVICES (AFS),3/3/2026,Corporate,2.906871,1,26416,8.202867,"GA FEE 82.00 € . ADDITIONAL NOZZLE FEE 30,00€. SMALL LOAD FEE 1,000LIT 30€.

AOC AND OPSPECS REQUIRED TO EXEMPT TAX CHARGES.
IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY.
GA FLIGHTS ARE FUELED BY AFS, AND COMMERCIAL FLIGHTS ARE FUELED BY SKYTANKING. ",No
FRA,EDDF,DE,FRANKFURT / FRA,GFS GERMAN FUEL SERVICE GmbH,3/1/2026,Corporate,2.877724,1,99999,8.130475,"PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. 75 EUR HOOKUP FEE.LOW VOLUME FEE 45 EUR. NO FUEL FEE 45 EUR .ADHOC CHARGE 150 EUR ALL AIRCRAFT WITH MTOW < 12MT ARE SUBJECT TO GERMAN MOT/EXCISE TAX UNLESS THE TAIL NUMBER HAS A PERMIT. CANNOT FUEL ON COMMERCIAL RAMP. A VALID AOC AND OPSPECS MUST BE SHOWN AT THE TIME OF FUELING TO AVOID MOT CHARGES. FOR AIRCRAFT UNDER 12 TONNES, A PERMIT FROM GERMAN CUSTOMS IS REQUIRED TO AVOID MOT CHARGES.CAN FUEL ON ALL GA RAMPS (INCLUDING FRANKFURT AVIATION SERVICES).IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
FMO,EDDG,DE,MUENSTER,AIR BP AGENCY - GA,3/3/2026,Corporate,5.489567,1,999999,11.128755,"10 EUR HOOKUP FEE.
30 EUR/UPLIFT SMALL UPLIFT FEE < 60 LTRS.
100 EUR NO FUEL FEE

AOC AND OPSPECS REQUIRED TO EXEMPT TAX CHARGES.
IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
HAM,EDDH,DE,HAMBURG,AFS VIA BACC,3/3/2026,Corporate,3.311794,1,26416,8.692551,"SMALL LOAD FEE UP TO 1,000 LIT 25€. GA FEE 90€.

AOC AND OPSPECS REQUIRED TO EXEMPT TAX CHARGES
IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
HAM,EDDH,DE,HAMBURG,GFS GERMAN FUEL SERVICE GmbH-GA,3/3/2026,Corporate,3.255190,1,999999,8.594755,"GA ONLY
HOOKUP FEE 55 EUR.
GA FEE 55 EUR.
LOW VOLUME FEE 45 EUR.
NO FUELLING FEE 115 EUR.
250 EUR OVERTIME/NIGHT OPERATION FEE. ",No
HAM,EDDH,DE,HAMBURG,HAMBURG FUELLING SERVICES (HFS),3/1/2026,Corporate,CALL,264,264171735,CALL,"Out of hours 250.00000 EUR/FLT
Hook Up Fee 22.80000 EUR/OPN
No Fuel Fee 30.00000 EUR/OPN
GA Hook Up Fee 90.00000 EUR/FLT
Non-Vol.- Misc. Fee 30.00000 EUR/OPN
Minimum Delivery Fee 20.00000 EUR/OPN 2.00 - 999.00 L
Hangar Refuelling 50.00000 EUR/OPN
Hangar defuelling 350.00000 EUR/FLT
Refuelling with 2. Truck (customer request) 50.00000 EUR/FLT
Defuel Hook up Fee 150.00000 EUR/OPN ",No
HAM,EDDH,DE,HAMBURG,SHELL VIA HAMBURG FUELLING SERVICES,3/3/2026,Corporate,2.821316,1,99999,7.980777,"MAIN APRON FUELINGS ONLY. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. 90 EURO HOOKUP FEE PER FLIGHT. 30 EURO NO SERVICE FEE, 50 EURO CALLOUT FEE AND 250 EUR OVERTIME FEE WHEN APPLICABLE. 30 EURO LOW UPLIFT FEE FOR < 1000LTRS WHEN APPLICABLE. 50 EUR MULTI VEHICLE FEE WHEN APPLICABLE. A VALID AOC MUST BE SHOWN AT THE TIME OF FUELING TO AVOID MOT CHARGES. FOR AIRCRAFT UNDER 12 TONNES, A PERMIT FROM GERMAN CUSTOMS IS REQUIRED TO AVOID MOT CHARGES.IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
CGN,EDDK,DE,COLOGNE,SKYTANKING,3/3/2026,Corporate,3.048494,1,999999,8.292021,50 EUR MULTI-VEHICLE FEE IF APPLICABLE. 77.37 EUR/UPLIFT HOOUP FEE.30 EUR OVERWING FEE.30 EUR ADDITIONAL DISTRIBUTION FIXED.IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ,No
CGN,EDDK,DE,COLOGNE,SKYTANKING VIA BACC,3/3/2026,Corporate,3.156244,1,26416,8.607899,"“FUEL SHORTAGE IN EFFECT.  ADHOC FLIGHTS SUBJECT TO RECONFIRMATION OF SUPPLY.  PLEASE CHECK WITH DISPATCH@AEGFUELS.COM PRIOR TO RELEASING ALL FLIGHTS.” GA FEE/ ""HOOKUP FEE"" 75,00€. 
SMALL LOAD FEE UP TO 1,000 LIT 30€. ADDITIONAL NOZZLE FEE 30,00€.

AOC AND OPSPECS REQUIRED TO EXEMPT TAX CHARGES.
IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",Yes
DUS,EDDL,DE,DUSSELDORF,JET AVIATION,3/3/2026,Corporate,4.030691,1,99999,9.385935,"GENERAL AVIATION APRON FUELINGS ONLY. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. A VALID AOC AND OPSPECS MUST BE SHOWN AT THE TIME OF FUELING TO AVOID MOT CHARGES. FOR AIRCRAFT UNDER 12 TONNES, A PERMIT FROM GERMAN CUSTOMS IS REQUIRED TO AVOID MOT CHARGES. OPENING HOURS ITP SERVICE 06:00-23:00.IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
DUS,EDDL,DE,DUSSELDORF,JET AVIATION - INTL (SOUTH),3/3/2026,Corporate,3.762855,1,99999,9.139115,"GENERAL AVIATION APRON FUELINGS ONLY.  **FUEL PRICE ONLY VALID IF AIRCRAFT HAS GROUND HANDLING ARRANGED WITH JET AVIATION**.  PLEASE CONTACT AEG FOR PREFERRED GROUND HANDLING RATES. PRICING INCLUSIVE OF ALL TAXES AND FEE KNOWN TO APPLY AND MAY VARY DUE TO EXCHANGE RATE FLUCTUATIONS. A VALID AOC AND OPSPECS MUST BE SHOWN AT THE TIME OF FUELING TO AVOID MOT CHARGES. FOR AIRCRAFT UNDER 12 TONNES, A PERMIT FROM GERMAN CUSTOMS IS REQUIRED TO AVOID MOT CHARGES.IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
DUS,EDDL,DE,DUSSELDORF,JET AVIATION VIA BACC,3/3/2026,Corporate,9.396549,1,99999,15.864087,"HOOKUP FEE 26.83€ . SMALL LOAD FEE UP TO 1,000 LIT 45€.

AOC AND OPSPECS REQUIRED TO EXEMPT TAX CHARGES.
IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",Yes
MUC,EDDM,DE,MUNICH,SIGNATURE AVIATION.,3/3/2026,Corporate,4.019272,1,999999,9.178647,68 EURO HOOK-UP FEE PER LIFT. ,No
MUC,EDDM,DE,MUNICH,SKYTANKING MUNICH GMBH & CO KG,3/3/2026,Corporate,2.843089,1,99999,8.013108,"GA APRON PARKING. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY.HOOK UP FEE 0600-2200  83.50 EUR/LIFT, HOOK UP FEE 2200-0600 215.50 EUR/LIFT.30 EURO NO FUEL FEE. 75 EURO IF SECOND REFUELER TRUCK IS REQUESTED. 150 EURO DEFUEL FEE.REFUELLING ORDERED BY MAINTENANCE 50 EUR/LIFT.30 EUR/LIFT SMALL UPLIFT FEE VOL < 1000 LT. A VALID AOC AND OPSPECS MUST BE SHOWN AT THE TIME OF FUELING TO AVOID MOT CHARGES.LATE NIGHT REFUELLINGS (0001-0459) 50 EUR/LIFT. FOR AIRCRAFT UNDER 12 TONNES, A PERMIT FROM GERMAN CUSTOMS IS REQUIRED TO AVOID MOT CHARGES.PRICE VALID AT SIGNATURE FLIGHT SUPPORT.IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
NUE,EDDN,DE,NUERNBERG,AIR BP,3/3/2026,Corporate,3.144664,1,99999,8.429191,"NO FUEL 100 EUR/UPLIFT
A VALID AOC AND OPSPECS MUST BE SHOWN AT THE TIME OF FUELING TO AVOID MOT CHARGES. FOR AIRCRAFT UNDER 12 TONNES, A PERMIT FROM GERMAN CUSTOMS IS REQUIRED TO AVOID MOT CHARGES.IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
LEJ,EDDP,DE,LEIPZIG,G.A.T. (TFSS) VIA TOTAL ENERGIES AVIATION,3/3/2026,Corporate,3.138751,1,99999,8.465997,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. 90 EUR HOOKUP FEE. 30 EURO NO SERVICE FEE AND 30 EURO LOW UPLIFT FEE FOR COMMERCIAL UPLIFTS < 1000 LTRS WHEN APPLICABLE. DEFUELLING CHARGE (DEF): 500 EUR/uplift + 500 EUR per day of storage ,Yes
SCN,EDDR,DE,SAARBRUECKEN,AIR BP AGENCY,3/1/2026,Corporate,6.994266,1,999999,12.968791,"Minimum Uplift Less than 50 litres - 33.56 USD.
No Fuel Fee - 111.87 USD
No Uplift Fee - 33.56 USD
Out of Hours Fee - 279.67 USD
Working hours 06:30 am to 22:30.
No out of hours service available ",No
STR,EDDS,DE,STUTTGART,KWB Flugzeug-Betankungs-GmbH,3/3/2026,Corporate,3.340881,1,999999,8.587585,HOOKUP FEE 50 EUR PER UPLIFT. NO UPLIFT FEE 100 EUR.IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ,No
STR,EDDS,DE,STUTTGART,SKYTANKING VIA BACC,3/3/2026,Corporate,2.909701,1,99999,8.299054,"GA FEE 93€ . SMALL LOAD FEE UP TO 1,000 LIT 30€. OPERATING HOURS :0500-2200 LT

AOC AND OPSPECS REQUIRED TO EXEMPT TAX CHARGES.
IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
HAJ,EDDV,DE,HANNOVER,AIR BP AGENCY (GAT),3/3/2026,Corporate,3.727995,1,99999,9.122620,"GENERAL AVIATION AND MILITARY FUELINGS. 10 EURO HOOKUP FEE. 100 EUR NO FUEL FEE. HANGAR FUELING, HANGAR DEFUEL AND OVERWING FEE WHEN APPLICABLE. 250 EUR OUT OF HOURS FEE AS APPLICABLE. A VALID AOC AND OPSPECS MUST BE SHOWN AT THE TIME OF FUELING TO AVOID MOT CHARGES. FOR AIRCRAFT UNDER 12 TONNES, A PERMIT FROM GERMAN CUSTOMS IS REQUIRED TO AVOID MOT CHARGES.IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
BRE,EDDW,DE,BREMEN,E.T.B.-GA,3/3/2026,Corporate,4.253854,1,999999,10.171324,"Per flight fee : 108.38503 USD 
 1) Operating Hours: 0500 to 2200 local. Out-of-hours possible. 2) Ramps serviced: All ramps. 3) Additional Information: If applicable: Small load, No Fuel & Out of Hours fees may apply. *** IMPORTANT *** i) All non commercial aircraft, whatever their take off weight is, are liable to MOT. ii) All aircraft below and including 12 tonnes take off weight are liable to MOT, unless they are able to provide to refueler prior to refuelling operation a valid `ERLAUBNISSCHEIN`. iii) All commercial aircraft above12 tonnes take off weight are exempted of MOT provided that, either they are able to provide valid AOC prior to refuelling operation, or they appear as commercial aircraft in the ""J.P. Airline"" ** ADVISE CREW TO MAKE SURE ""AOC SHOWN"" IS CLEARLY MARKED ON THE DELIVERY TICKET AND DESTINATION IS ALSO CLEARLY VISIBLE ** For more information please contact your local fuel logistics team on fuel24@wfscorp.com ",No
HHN,EDFH,DE,FRANKFURT HAHN,AIR BP VIA RAS,3/3/2026,Corporate,3.138504,1,99999,8.501224,"GENERAL AVIATION AND MILITARY FUELINGS. 40 EUR HOOKUP FEE PER OPS. A VALID AOC AND OPSPECS MUST BE SHOWN AT THE TIME OF FUELING TO AVOID MOT CHARGES. FOR AIRCRAFT UNDER 12 TONNES, A PERMIT FROM GERMAN CUSTOMS IS REQUIRED TO AVOID MOT CHARGES. THIS PRICE IS EXCLUSIVE OF CURRENT DUTIES, FEES AND TAXES WHICH MAY BE CHANGED AT ANY TIME IN LINE WITH CHANGES BY AUTHORITIES, AIRPORT AUTHORITIES, ITP OR DEPOT OPERATORS.IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
EDF,EDFQ,DE,Allendorf Eder,Viessmann,12/31/2025,Corporate,CALL,1,999999,CALL,IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ,No
KEL,EDHK,DE,KIEL,AIRPORT AUTHORITY,3/1/2026,Corporate,11.892065,1,999999,18.547270,IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ,No
LBC,EDHL,DE,LUEBECK,AIR BP AGENCY - GA,3/3/2026,Corporate,5.727371,1,999999,11.211285,"GENERAL AVIATION AND MILITARY FUELINGS. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. 30 EURO MINIMUM UPLIFT FEE FOR < 60 LTRS. 100 EUR NO FUEL FEE WHEN APPLICABLE. A VALID AOC AND OPSPECS MUST BE SHOWN AT THE TIME OF FUELING TO AVOID MOT CHARGES. FOR AIRCRAFT UNDER 12 TONNES, A PERMIT FROM GERMAN CUSTOMS IS REQUIRED TO AVOID MOT CHARGES.

 THIS PRICE IS EXCLUSIVE OF CURRENT DUTIES, FEES AND TAXES WHICH MAY BE CHANGED AT ANY TIME IN LINE WITH CHANGES BY AUTHORITIES, AIRPORT AUTHORITIES, ITP OR DEPOT OPERATORS.
IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
FMM,EDJA,DE,MEMMINGEN,AIR BP AGENCY - GA,3/3/2026,Corporate,5.500511,1,999999,11.157545,"GENERAL AVIATION AND MILITARY FUELINGS. 10 EUR HOOKUP FEE. 30 EUR MINIMUM UPLIFT FEE FOR < 60 LTRS. 100 EUR NO FUEL FEE MAY APPLY. THIS PRICE IS EXCLUSIVE OF CURRENT DUTIES, FEES AND TAXES WHICH MAY BE CHANGED AT ANY TIME IN LINE WITH CHANGES BY AUTHORITIES, AIRPORT AUTHORITIES, ITP OR DEPOT OPERATORS.

AOC AND OPSPECS REQUIRED TO EXEMPT TAX CHARGES.

IF MOT IS CHARGED BY THE SUPPLIER AEG CANNOT DISPUTE; THE CUSTOMER MUST DISPUTE MOT WITH THE RELEVANT TAX AUTHORITY ",No
