Auto.,STATE,CITY,ICAO,IATA,Fixed Base Operator,,FROM,TO,PRICE,EFF DATE,PREAUTH,FBO FAX,FBO WEBSITE,AGENT FOT,AVFUEL CONTACT INFO,AVFUEL CF PHONE,AVFUEL WEBSITE,PRODUCT,NOTES,SUB-ACCOUNT,TAIL NUMBER
Yes,,Algiers,DAAG,ALG,"NAFTAL Aviation - ALG",,"265","99999",3.0779 ,3/1/2026,F,+213 21 50 96 13,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,The Total Price listed for this location includes Fuel Cost only – All other duties  taxes and fees are excluded.    FUELING WITH PASSENGERS ON BOARD  EMBARKING  OR DISEMBARKING OR DEFUELING ARE EXPRESSLY PROHIBITED,,
Yes,,Amman,OJAI,AMM,"Manaseer - AMM",,"1","99999",3.0264 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Chartered flights (ADHOC):   •General / Business Aviation   •Unscheduled cargo   •Unscheduled passenger / tour operators,,
Yes,,Amsterdam,EHAM,AMS,"Jet Aviation - AMS",,"1","99999",2.6276 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced and is subject to change.,,
Yes,,Antwerp,EBAW,ANR,"Air BP - ANR",,"1","99999",5.1896 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    ,,
Yes,,St. John's,TAPA,ANU,"Signature Flight Support   ANU",,"1","99999",8.6235 ,2/23/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Price is subject to change at any time.,,
Yes,,Aquaba,OJAQ,AQJ,"Manaseer - AQJ",,"1","99999",3.0214 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Chartered flights (ADHOC):   •General / Business Aviation   •Unscheduled cargo   •Unscheduled passenger / tour operators,,
Yes,,Stockholm,ESSA,ARN,"Stockholm Fueling Srvcs - ARN",,"1","99999",3.1361 ,3/2/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced and is subject to change.,,
Yes,,Kayseri,LTAU,ASR,"THYOpet - ASR (Int'l)",,"1","99999",2.8190 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Not available Turkish aircraft performing domestic flights.,,
Yes,,Aswan,HESN,ASW,"MISR Petroleum - ASW",,"1","99999",3.3870 ,3/2/2026,F,+20 225745381,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are for international operations  exclusive of all duties  taxes and fees unless otherwise specified.,,
No,,Athens,LGAV,ATH,"SAFCO / MOH - ATH",,"1","99999",2.5774 ,3/3/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Price is exclusive of all duties  taxes and fees  Billing Agent / Processing Fee will be billed as a seperate line item on the fuel invoice    AOC holders only.  Aircraft registration must be listed on the AOC when presented to the ITP agent by the operator at the time of the uplift for any potential tax exemptions    48HR notice required    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced and is subject to change.. $150.00 will be added to order for ADMINISTRATION FEE.,,
No,,Oranjestad,TNCA,AUA,"JET-TNCA - AUA",,"1","500",4.8763 ,3/3/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,,,
No,,Oranjestad,TNCA,AUA,"JET-TNCA - AUA",,"501","1000",4.8263 ,3/3/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,,,
No,,Oranjestad,TNCA,AUA,"JET-TNCA - AUA",,"1001","2000",4.7763 ,3/3/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,,,
No,,Oranjestad,TNCA,AUA,"JET-TNCA - AUA",,"2001","99999",4.7263 ,3/3/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,,,
Yes,,Abu Dhabi,OMAA,AUH,"ADNOC - AUH",,"1","99999",2.6231 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.  ,,
Yes,,Avignon,LFMV,AVN,"CCI - AVN",,"1","99999",4.6389 ,3/3/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    TIC (excise duty) will be charged unless a photocopy of the AOC is left with the into plane agent at the airport.,,
Yes,,Anguilla,TQPF,AXA,"Lloyd Aviation - AXA",,"1","99999",7.9005 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Price is subject to change at any time.,,
Yes,,Antalya,LTAI,AYT,"POAIR - AYT (Int'l) COM",,"1","99999",2.6382 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Not available Turkish aircraft performing domestic flights.,,
Yes,,Abu Dhabi,OMAD,AZI,"EPPCO - AZI",,"1","99999",2.9351 ,3/1/2026,F,+971569193879,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    ,,
No,,Samana,MDCY,AZS,"GPD Aviation - AZS",,"1","99999",3.5940 ,2/28/2026,T,8093380287,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Price subject to change with 24-notice,,
Yes,,Manama,OBBI,BAH,"BAFCO - BAH",,"1","99999",2.8151 ,3/1/2026,F,+973 17339540,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.  ,,
No,,Barranquilla,SKBQ,BAQ,"Terpel Aviation - BAQ",,"1","99999",2.5822 ,3/4/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.,,
No,,Atlántico,SKBQ,BAQ,"Terpel Exportaciones - BAQ (Int'l)",,"1","99999",2.5997 ,3/4/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Flights  must be approved 24 hours before departure  with the office open M-F   normal working hours.      -  Flights must be international     -  Approved routes  origin and destinaltion are MANDATORY.  Any change in route must be approved    Fees change weekly,,
Yes,,Kasane,FBKE,BBK,"Puma Energy - BBK",,"1","99999",4.7343 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Uplift date falling on Monday to Friday – Request must be sent 24 hours prior to the fueling date  Uplift date falling on Saturday and Sunday – Request must be sent 48 hours prior to the fueling date,,
No,,Bucharest,LRBS,BBU,"Air BP / RFS - BBU",,"1","99999",3.7490 ,3/1/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Listed price is exclusive of all duties  taxes and fees.,,
No,,Barcelona,LEBL,BCN,"Skytanking / Cepsa - BCN",,"1","99999",2.6522 ,3/1/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.     36 Hour prior notice required    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced.,,
Yes,,Bermuda,TXKF,BDA,"SOL Aviation - BDA",,"1","99999",3.9905 ,3/1/2026,F,4412934602,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Fueling fee based on where the aircraft parks: Apron IV or North Ramp will apply,,
No,,Belem,SBBE,BEL,"Shell / Raizen - BEL (Domestic)",,"1","99999",4.1821 ,3/1/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.     Domestic flights only.      Non-Brazilian registrations / tails only.,,
No,,Belem,SBBE,BEL,"Shell / Raizen - BEL (Int'l)",,"1","99999",3.1215 ,3/1/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.     International flights only.      Non-Brazilian registrations / tails only.,,
No,,Schönefeld,EDDB,BER,"German Fuel Service - BER",,"1","99999",2.6551 ,3/1/2026,T,+49 30 6091 78305,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    GFS operates a dedicated truck on the GA ramp.  Not available on the main ramp.     This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced and is subject to change.,,
Yes,,Schönefeld,EDDB,BER,"Skytanking - BER",,"1","99999",2.9111 ,3/3/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced and is subject to change.,,
No,,Lebrija,SKBG,BGA,"Terpel Aviation - BGA",,"1","99999",3.9855 ,3/4/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.,,
No,,Bucaramanga,SKBG,BGA,"Terpel Exportaciones - BGA (Int'l)",,"1","99999",3.4801 ,3/4/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Flights  must be approved 24 hours before departure  with the office open M-F   normal working hours.      -  Flights must be international     -  Approved routes  origin and destinaltion are MANDATORY.  Any change in route must be approved    Fees change weekly,,
Yes,,Christ Church,TBPB,BGI,"IAM Jet Centre - BGI",,"1","99999",3.4425 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    This price is applicable for customers being handled by IAM only.   ,,
No,,Bridgetown,TBPB,BGI,"M FBO - BGI",,"1","99999",3.5055 ,3/1/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    M FBO customers only.    ,,
No,,Bergen,ENBR,BGO,"Flytanking - BGO",,"1","99999",3.3986 ,3/2/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.,,
Yes,,Bergamo,LIME,BGY,"Levorato Marcevaggi - BGY",,"1","99999",3.1011 ,3/3/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced and is subject to change.  ,,
Yes,,Belfast,EGAC,BHD,"North Air - BHD",,"1","99999",3.3694 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Due to the implementation of the UK SAF Mandate the cost associated with mandate compliance will be invoiced and is subject to change at any time.,,
Yes,,Birmingham,EGBB,BHX,"Avfuel GAT- BHX",,"1","99999",3.4080 ,3/3/2026,F,+44 121 782 9301,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,The Total Price listed for this location includes Fuel Cost and Into Plane Fees only – All other duties  taxes and fees are excluded.    Due to the implementation of the UK SAF Mandate the cost associated with mandate compliance will be invoiced and is subject to change at any time.. $67.50 will be added to order for Callout Fees.,,
Yes,,Bilbao,LEBB,BIO,"Exolum / Cepsa - BIO",,"1","99999",2.7497 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.     48 Hour prior notice required  24-Hours service not available. Overtime charges to apply.    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced.,,
Yes,,Milas Bodrum,LTFE,BJV,"SOCAR - BJV (Int'l) COM",,"1","99999",2.6740 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    Not available Turkish aircraft performing domestic flights.,,
Yes,,Leon,MMLO,BJX,"ICCS - BJX",,"1","99999",3.3180 ,3/3/2026,F,,www.iccsmex.com.mx,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    SENEAM air navigation fee may be invoiced at the same time  but is not included in the price of fuel,,
Yes,,Badajoz,LEBZ,BJZ,"Exolum / Cepsa - BJZ",,"1","99999",3.0964 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.     48 Hour prior notice required  ,,
Yes,,Bangkok,VTBS,BKK,"BAFS - BKK (I)",,"1","99999",2.3957 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Price listed for this location includes Fuel Cost and ITP fee – All other duties  taxes and fees are excluded.    International operations only,,
Yes,,Balboa,MPPA,BLB,"Mapiex International - BLB",,"1","99999",3.1110 ,3/5/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.,,
No,,Billund,EKBI,BLL,"Billund Refuelling - BLL",,"1","99999",2.9811 ,3/3/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced and is subject to change.,,
Yes,,Bologna,LIPE,BLQ,"TAG Bologna Srl",,"1","99999",3.5767 ,3/1/2026,F,+39 051 64 18 909,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    TAG ramp (4) is the only GA fuel w/o a taxi back to the main airport ramps (1 2 and 3).    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced and is subject to change.  ,,
Yes,,Bordeaux,LFBD,BOD,"TotalEnergies - BOD",,"1","99999",3.1620 ,3/3/2026,F,+33 556 130357,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    TIC (excise duty) will be charged unless a photocopy of the AOC is left with the into plane agent at the airport.    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced and is subject to change.,,
No,,Bogota,SKBO,BOG,"Terpel Aviation - BOG",,"1","99999",2.7909 ,3/4/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.,,
No,,Bogata,SKBO,BOG,"Terpel Exportaciones - BOG (Int'l)",,"1","99999",2.8083 ,3/4/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Flights  must be approved 24 hours before departure  with the office open M-F   normal working hours.      -  Flights must be international     -  Approved routes  origin and destinaltion are MANDATORY.  Any change in route must be approved    Fees change weekly,,
Yes,,Bonaire,TNCB,BON,"Curoil - BON",,"1","99999",3.1952 ,3/3/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.,,
No,,Bodø,ENBO,BOO,"Flytanking AS- BOO",,"1","99999",3.6386 ,3/3/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.,,
No,,Porto Seguro,SBPS,BPS,"Shell / Raizen - BPS (Int'l)",,"1","99999",3.3014 ,3/1/2026,T,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.     International flights only.      Non-Brazilian registrations / tails only.,,
Yes,,Bromley,EGKB,BQH,"Biggin Hill - BQH",,"1","99999",4.6090 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.      Fuel avaiable on any ramp.     Due to the implementation of the UK SAF Mandate the cost associated with mandate compliance will be invoiced and is subject to change at any time.,,
Yes,,Berne,LSZB,BRN,"Shell Aviation - BRN",,"1","99999",6.4671 ,3/1/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    In order to receive Excise Duty exemption an aircraft must be registered to a country that holds a reciprocal right agreement with Switzerland.,,
Yes,,Bristol,EGGD,BRS,"Centerline - BRS",,"1","99999",4.1001 ,2/1/2026,F,+44 1275 474851,www.centreline.aero,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Price is exclusive of duties  fees and taxes unless noted otherwise  *Uplifts of 400 litres or less   no hook-up charge but significantly higer price.    Due to the implementation of the UK SAF Mandate the cost associated with mandate compliance will be invoiced and is subject to change at any time.,,
Yes,,Brussels,EBBR,BRU,"Levorato Marcevaggi - BRU",,"1","99999",2.5395 ,3/1/2026,F,+32 2 751 4243,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced and is subject to change.,,
Yes,,Brasilia,SBBR,BSB,"Shell / Raizen - BSB (Int'l)",,"1","99999",3.2227 ,3/1/2026,F,+55 61 3365-2084,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,Prices are exclusive of all duties  taxes and fees unless otherwise specified.     International flights only.      Non-Brazilian registrations / tails only.,,
Yes,,Basel,LFSB,BSL,"Air Service Basel - BSL",,"1","99999",3.7612 ,3/3/2026,F,,,Corporate Configure Accepted,contractfuel@avfuel.com,800-466-2778,www.avfuel.com,Jet,In order to receive Excise Duty exemption an aircraft must be registered to a country that holds a reciprocal right agreement with Switzerland.    ASB is operating their own truck.      The Total Price listed for this location includes Fuel Cost and Into Plane Fees only – All other duties  taxes and fees are excluded.    This airport has been identified as in-scope for ReFuelEU  the cost associated with mandate compliance will be invoiced and is subject to change.,,
