ICAO,FBO,TIER,PRICE,NAME,
BGUK,GREENLAND AIRPORTS,1,7.57331,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION,
BGUQ,GREENLAND AIRPORTS,1,7.57331,PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND IS SUBJECT TO CHANGE WITH EXCHANGE RATE FLUCTUATION,
BIAR,SKELJUNGUR OIL COMPANY,1,4.58197,INTERNAL FLIGHTS INCUR 24% VAT. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. OVERTME FEE OF 625 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00. HOOKUP FEE 28 USD,
BIEG,SKELJUNGUR OIL COMPANY (FUEL ONLY),1,5.33197,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY.OVERTME FEE OF 625 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00. HOOKUP FEE 28 USD,
BIHN,SKELJUNGUR OIL COMPANY (FUEL ONLY),1,6.04197,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY.OVERTME FEE OF 625 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00. 200 USD/UPLIFT HOOKUP FEE,
BIIS,SKELJUNGUR OIL COMPANY (FUEL ONLY),1,5.39197,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY.OVERTME FEE OF 625 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00. HOOKUP FEE 28 USD,
BIKF,E.A.K. (SKELJUNGUR) (FUEL ONLY),1,3.23645,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. COMMERCIAL AIRCRAFT ARE ONLY FUELED BY TRUCK DURING PEAK HOURS.  ALL CORPORATE (GA) AIRCRAFT ARE FUELED BY TRUCK. HOOK UP FEE 8500 ISK/LIFT,
BIKF,ICELAND JET CENTER,1,3.23645,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. COMMERCIAL AIRCRAFT ARE ONLY FUELED BY TRUCK DURING PEAK HOURS.  ALL CORPORATE (GA) AIRCRAFT ARE FUELED BY TRUCK. HOOK UP FEE 8500 ISK/LIFT,
BIKF,OLIS (ICELAND OIL) VIA E.A.K. (FUEL ONLY),1,2.89480,,
BIRK,OLIS (ICELAND OIL) (FUEL ONLY),1,3.49760,,
BIRK,SKELJUNGUR (FUEL ONLY),1,3.86197,INTERNAL FLIGHTS INCUR 24% VAT.PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. OVERTME FEE OF 625 USD/LIFT CHARGED FROM 18:30 UNTIL 07:00. HOOKUP FEE 28USD,
CYAM,EXECUTIVE AVIATION FUELS LTD,1,5.00840,1) Operating Hours:HRS: 0600-1900 DAILY. AVBL AFTER HR CALL OUT CHARGE APPLY 249-889-1244 2) Ramps serviced:ALL 3) Additional Information: FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com,
CYAM,JD AERO TECHNICAL INC,1,4.85922,,
CYBC,AVJET HOLDING INC,1,5.90768,,
CYBG,AVJET HOLDING INC,1,5.75100,,
CYBL,CAMPBELL RIVER AIRPORT,1,5.91064,PRICING SUBJECT TO CHANGE AT ANY TIME.,
CYCD,ENEX AVIATION,1,3.83885,,
CYCH,MIRAMICHI AIRPORT,1,6.40957,MTOW < 42KGS AND ALL PART 91 AIRCRAFT.,
CYCL,AVJET HOLDING INC,1,5.25310,,
CYCL,CHARLO AIRPORT COMM,1,5.42593,$300CALLOUT FEE WHEN APPLICABLE,
CYDF,WOODWARD AV SVCS,1,6.18000,,
CYDF,WOODWARD AV SVCS,265,5.81000,,
CYDF,WOODWARD AV SVCS,529,5.57000,,
CYDF,WOODWARD AV SVCS,1321,5.42000,,
CYEG,AIRSIDE FLIGHT SERVICES,1,4.07169,N/A,
CYEG,EXECUTIVE FLIGHT CENTRE,1,3.54889,Hook Up Fee / Aircraft $55.00,
CYEG,SHELL AEROCENTRE FBO,1,4.28741,45 CAD HOOKUP FEE ADDITIONAL. 100 CAD NO FUEL FEE FOR PRODUCT OR SERVICE MATERIAL: AEROJET INCURS HIGHER PRICING,
CYEG,SHELL AEROCENTRE FBO,1585,4.28741,45 CAD HOOKUP FEE ADDITIONAL. 100 CAD NO FUEL FEE FOR PRODUCT OR SERVICE MATERIAL: AEROJET INCURS HIGHER PRICING,
CYFC,MENZIES - YFC,1,5.51120,**Minimum fee applies at this location** 1) Minimum Notice Required:N/A 2) Ramps serviced:EVERYWHERE ON THE AIRFIELD 3) Additional Information: FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com ..,
CYFJ,MONT-TREMBLANT INTL AIRPORT,1,7.86882,FUEL RELEASE REQUIRED. PRICE SUBJECT TO CHANGE AT ANY TIME. PLEASE CONTACT AEG DISPATCH FOR VALID FUEL PRICE FOR FUELING.,
CYGK,CENTRAL AIRWAYS,1,6.18909,1) Minimum Notice Required:NONE 2) Ramps serviced:THEIR OWN RAMP ONLY 3) Additional Information: PRIST AVAILABLE // HOURS OF OPERATION: M-F 0600L - 2100L // Sat-Sun 0700L-2100L... CALL OUT FEE APPLIES TO ALL TRANSACTIONS HANDLED OUTSIDE OF THE REGUALR OPERATING HOURS. CONTACT FBO FOR THE OUT OF HOURS FEE SCHEDULE Formerly an ESSO/AVITAT FBO FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com,
CYGV,AVJET HOLDING INC,1,6.03476,,
CYHD,MORGAN AVIATION,1,5.85818,Any urgent info: 1) Minimum Notice Required: NONE 2) Ramps serviced: OWN RAMP 3) Additional Information: PRIST is available after hours service is available call FBO for pricing. Formerly an ESSO/AVITAT FBO FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com,
CYHM,HAMILTON JETPORT LTD,1,5.00457,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
CYHM,HAMILTON JETPORT LTD,265,4.94205,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
CYHM,HAMILTON JETPORT LTD,529,4.87952,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
CYHM,HAMILTON JETPORT LTD,794,4.78573,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
CYHM,HAMILTON JETPORT LTD,926,4.75447,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
CYHM,HAMILTON JETPORT LTD,1058,4.72320,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
CYHM,HAMILTON JETPORT LTD,1190,4.69194,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.,
CYHM,ONWARD AVIATION,1,4.24344,1) Minimum Notice Required:NONE 2) Ramps serviced: Own ramp service other ramp locations - UPS - Warplane Museum - Purolator 3) Additional Information: 24/7 Operation - Had a name change from GLANFORD to ONWARD aviation effective Sept 3rd 2021 FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com,
CYHR,MAXJET INC (FUEL ONLY),1,11.87466,$300CALLOUT FEE WHEN APPLICABLE,
CYHU,AVJET,1,4.66537,$300CALLOUT FEE WHEN APPLICABLE,
CYHU,AVJET HOLDING INC,1,4.49537,,
CYHU,HUB FBO,1,5.63479,,
CYHU,LUX FBO,1,4.48848,1) Operating Hours: 24/7 -365 2) )Minimum Notice Required: None 3) Additional Information: AVGAS is available. Frequency: 122.47 Mhz / 24/7 / WE HANDLE ALL AIRCRAFT FROM SMALLEST TO B737 AND A321 For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYHU,PASCAN,1,6.00392,,
CYHU,PASCAN,133,5.84492,,
CYHU,PASCAN,265,5.68564,,
CYHU,PASCAN,530,5.52637,,
CYHZ,GATEWAY FACILITIES,1,4.90958,Gateway is only able to assist with uplifts on their own ramp - not on all FBO RAMP Fuelings. JET WITH ADDITIVE INCURS HIGHER PRICING.,
CYHZ,PAL AVIATION SERVICES,1,4.56066,1) Minimum Notice Required: Preferably 24 Hrs for larger aircraft ***Now Pal Aviation Services 2) Ramps serviced: OWN/Terminal on Request. 3) Additional Information: N/A For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYHZ,PAL AVIATION SERVICES,1321,4.40290,1) Minimum Notice Required: Preferably 24 Hrs for larger aircraft ***Now Pal Aviation Services 2) Ramps serviced: OWN/Terminal on Request. 3) Additional Information: N/A For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYHZ,PAL AVIATION SERVICES,13209,4.27669,1) Minimum Notice Required: Preferably 24 Hrs for larger aircraft ***Now Pal Aviation Services 2) Ramps serviced: OWN/Terminal on Request. 3) Additional Information: N/A For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYHZ,SHELL AEROCENTRE,1,4.86251,45 CAD HOOKUP FEE. NO FUEL FEE 100CAD/LIFT.,
CYKA,EXECUTIVE FLIGHT CENTRE,1,4.33668,Hook Up Fee / Aircraft $55.00,
CYKA,SHELL AVIATION,1,4.90332,1) Minimum Notice Required:24 hour notice 2) Ramps serviced:All aprons on at YKA (GA 2) 3) Additional Information: Prist is available There is a 100 CAD no fuel surcharge fee Operating Hours: 0700 to 1900 Mon-Fri 0800-1800 Sat/Sun (on call available 24/7) For more information please contact your local fuel logistics team atfuel24@wfscorp.com,
CYKA,SHELL AVIATION,1585,4.69332,1) Minimum Notice Required:24 hour notice 2) Ramps serviced:All aprons on at YKA (GA 2) 3) Additional Information: Prist is available There is a 100 CAD no fuel surcharge fee Operating Hours: 0700 to 1900 Mon-Fri 0800-1800 Sat/Sun (on call available 24/7) For more information please contact your local fuel logistics team atfuel24@wfscorp.com,
CYKF,CHARTRIGHT AIR INC,1,6.30728,Operating Hours: 0500 to 2100 Callout fee applies for uplifts outside of regular business hours.,
CYKF,FLITE LINE SERVICES KITCHENER,1,5.99772,45 CAD HOOKUP FEE ADDITIONAL. 100 CAD NO FUEL FEE. 225 CAD CALL OUT CHARGE,
CYLS,CHARTRIGHT AIR INC,1,6.42166,N/A,
CYLS,LAKE SIMCOE,1,6.33289,,
CYLW,KELOWNA SHELL AEROCENTRE,1,5.18055,,
CYMM,EXECUTIVE FLIGHT CENTRE,1,5.04247,Hook Up Fee / Aircraft $55.00,
CYMT,CHIBOUGAMAU-CHAPAIS AIRPORT,1,5.98699,$300CALLOUT FEE WHEN APPLICABLE,
CYMX,AVJET HOLDING INC,1,5.02721,,
CYMX,HELIBELLULE FBO,1,5.88974,$35 CAD HOOKUP FEE. ADDITIONAL ITP OF .20 CAN/LTR BETWEEN 0 - 1000 LITERS. ADDITIONAL ITP OF .10 CAN/LTR BETWEEN 1000 - 4000 LITERS. During closed Hrs minimum 2500 L or 250 $ fee,
CYND,GATINEAU-OTTAWA EXECUTIVE AIRPORT,1,6.22558,N/A,
CYOO,ENTERPRISE AIRLINES INC,1,5.60793,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.     Pricing is subject to change daily and at any time.,
CYOO,ENTERPRISE AIRLINES INC,265,5.54540,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.     Pricing is subject to change daily and at any time.,
CYOO,ENTERPRISE AIRLINES INC,397,5.48287,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.     Pricing is subject to change daily and at any time.,
CYOO,ENTERPRISE AIRLINES INC,529,5.38909,Due to the dynamic nature of the exemptions granted to many operators the prices are exclusive of all duties taxes and fees unless otherwise specified.     Pricing is subject to change daily and at any time.,
CYOW,EXECAIRE AVIATION,1,4.88238,45 CAD HOOKUP FEE 100 CAD NO FUEL FEE. OVERTIME CHARGES ADDITIONAL.,
CYOW,EXECAIRE AVIATION,1585,4.65638,45 CAD HOOKUP FEE 100 CAD NO FUEL FEE. OVERTIME CHARGES ADDITIONAL.,
CYOW,SKYSERVICE FBO INC,1,4.53300,,
CYPD,CELTIC AIR SERVICES,1,10.15457,1) Minimum Notice Required: None 2) Ramps serviced: Own ramp 3) Operating Hours: 0800-1700L 7 Days 4) Additional Information: Prist & Avgas are available. After hours service is also available call GFL for more information. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYPK,INTEGRITY FLIGHT SUPPORT,1,4.95550,,
CYPQ,STEWART AVIATION,1,6.16293,1) Minimum Notice Required: None 2) Ramps serviced: Own ramp 3) Operating Hours: 0700-1800L 7 Days (0700-2000L APR-SEP) 4) Additional Information: Prist & Avgas are available. After hours service is also available call GFL for more information. 24 Hour notice for catering. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQA,MUSKOKA AIRPORT,1,6.15225,1) Minimum Notice Required: None 2) Ramps serviced: Own ramp 3) Operating Hours: 0700-1900L 7 Days 4) Additional Information: Prist & Avgas are available. After hours service is also available call GFL for more information. 24 Hour notice for catering. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQB,AFS EXECUTIVE,1,4.23131,DE-ICING FEE: $0.17 C CDN per liter for Type 1 Fluid and by $0.09 C CDN per liter for Type 4 Fluid.,
CYQB,AVITAIR / TRANS-SOL AVIATION,1,4.65338,$300CALLOUT FEE WHEN APPLICABLE. A/C PARKING ON THE TRANSOL RAMP MUST BE NOTED ON FUEL RELEASE.,
CYQB,AVJET HOLDING INC,1,5.07295,,
CYQB,LUX FBO,1,4.55066,1) Minimum Notice Required: 60 mins. 2) Ramps serviced: FBO ramp and at the terminal 3) Additional Information: Jet A with prist option available for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQF,TUCANA AVIATION,1,4.90020,OPERATING HOURS MON-FRI 8AM TO 5PM .CALL OUT FEE  $60. PRICING SUBJECT TO CHANGE AT ANY TIME AND MAY FLUCTUATE WITH EXCHANGE RATES.,
CYQG,GATEWAY AVIATION,1,6.25177,1) Minimum Notice Required: N/A 2) Ramps serviced: All ramps serviced when aircraft is handled by Gateway Aviation All aircraft not handled by Gateway Aviation are subject to additional fees. 3) Additional Information: UNICOM 123.500 / JetA Prist 100LL De-Icing available 4) Operating Hours: Monday - Friday 0600-200 LCL Saturday & Sunday 0600-1800 LCL and Holidays 0800-1800 LCL - Fuel is available 24/8/365 after hours fee will apply For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQI,YARMOUTH INTL AIRPORT,1,7.40152,N/A,
CYQK,KENORA AIRPORT SHELL,1,5.47298,100 CAD NO FUEL FEE. 225 CAD CALLOUT FEE.$45 Hookup Fee. FUEL WITH AEROJET  / ADDITIVE INCURS HIGHER PRICING.,
CYQK,KENORA AIRPORT SHELL,1585,5.24698,100 CAD NO FUEL FEE. 225 CAD CALLOUT FEE.$45 Hookup Fee. FUEL WITH AEROJET  / ADDITIVE INCURS HIGHER PRICING.,
CYQL,AIR WEST FLIGHT SUPPORT,1,5.30284,PRICE IS SUBJECT TO CHANGE AT ANY TIME.,
CYQL,AIR WEST FLIGHT SUPPORT,264,5.21464,PRICE IS SUBJECT TO CHANGE AT ANY TIME.,
CYQL,SOUTHERN AERO AVIATION,1,4.97780,**Minimum fee applies at this location** 1) Minimum Notice Required:30 mins 2) Ramps serviced: Ramp 3 3) Additional Information: Prist available for additional fee for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQM,MENZIES AVIATION (FUEL ONLY),1,5.05955,**Minimum fee applies at this location** 1) Minimum Notice Required: 2) Ramps serviced: Terminal Cargo areas and GA ramp - NO ACCESS TO SHELL RAMP 3) Additional Information: for more information please contact your local fuel logistics team on fuel24@wfscorp.com .,
CYQM,MENZIES AVIATION (FUEL ONLY),132,5.37783,**Minimum fee applies at this location** 1) Minimum Notice Required: 2) Ramps serviced: Terminal Cargo areas and GA ramp - NO ACCESS TO SHELL RAMP 3) Additional Information: for more information please contact your local fuel logistics team on fuel24@wfscorp.com .,
CYQM,SHELL AVIATION,1,4.92172,GA (NARROW BODY) AIRCRAFT ONLY.45 CAD HOOKUP FEE.,
CYQM,SHELL AVIATION,1585,4.69172,GA (NARROW BODY) AIRCRAFT ONLY.45 CAD HOOKUP FEE.,
CYQQ,AIRPORT AUTHORITY,1,6.09068,45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE. 100 CAD NO FUEL FEE.,
CYQQ,AIRPORT AUTHORITY,1585,5.88068,45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE. 100 CAD NO FUEL FEE.,
CYQQ,COMOX VALLEY AIRPORT,1,6.41262,1) Minimum Notice Required: None 2) Ramps serviced: All 3) Additional Information: HOURS = 0330 - 0030 LCL Daily Prist available for additional fee There is a 100 CAD no fuel surcharge fee for more information please contact your local fuel logistics team on fuel24@wfscorp.com .,
CYQQ,COMOX VALLEY AIRPORT,1585,6.20262,1) Minimum Notice Required: None 2) Ramps serviced: All 3) Additional Information: HOURS = 0330 - 0030 LCL Daily Prist available for additional fee There is a 100 CAD no fuel surcharge fee for more information please contact your local fuel logistics team on fuel24@wfscorp.com .,
CYQR,KREOS AVIATION,1,4.54410,CALL OUT FEE OF $300 MIGHT APPLY. HOURS OF APERATION: SUN-MON 0600-2200. CAN FUEL AT BRANDT AVIATION. FSII $0.03/USG,
CYQT,SKYFILL,1,4.52889,45 CAD HOOKUP FEE. 225 CAD CALLOUT FEE. 100 NO FUEL FEE.,
CYQT,THUNDER BAY FLIGHT REFUELING,1,4.92004,1) Minimum Notice Required: None 2) Ramps serviced:FBO Ramp 3) Additional Information: Prist is available // Fuel price does not include Canadian GST or Provincial Fuel Tax that may be applicable on your flight There is a 100 CAD no fuel surcharge fee 4) Operating Hours: 0530 - 2230 Daily 5) Fuel available outside Operating Hours Y/N: Yes Call-Out Fee applies to services provided outside of regular operating hours for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQT,THUNDER BAY FLIGHT REFUELING,1585,4.69404,1) Minimum Notice Required: None 2) Ramps serviced:FBO Ramp 3) Additional Information: Prist is available // Fuel price does not include Canadian GST or Provincial Fuel Tax that may be applicable on your flight There is a 100 CAD no fuel surcharge fee 4) Operating Hours: 0530 - 2230 Daily 5) Fuel available outside Operating Hours Y/N: Yes Call-Out Fee applies to services provided outside of regular operating hours for more information please contact your local fuel logistics team on fuel24@wfscorp.com,
CYQU,HAPPY GAS INC,1,6.07601,PRICE SUBJECT TO CHANGE AT ANY TIME.,
CYQU,HAPPY GAS INC,264,5.93857,PRICE SUBJECT TO CHANGE AT ANY TIME.,
CYQU,HAPPY GAS INC,529,5.80112,PRICE SUBJECT TO CHANGE AT ANY TIME.,
CYQX,GANDER AVIATION,1,5.53519,,
CYQX,GANDER AVIATION,528,5.50337,,
CYQX,GANDER AVIATION,1585,5.47156,,
CYQX,IRVING AVIATION,1,5.42800,,
CYQX,WOODWARD AVIATION,1,5.44640,,
CYQY,MENZIES CANADA - FUELLING (FUEL ONLY),1,5.71320,**Minimum fee applies at this location** 1) Minimum Notice Required: 24 hours 2) Ramps serviced: All ramps 3) Additional Information: NA For more information please contact your local fuel logistics team on fuel24@wfscorp.com,
