"Country/State","City","ICAO","Supplier","Gal From","Gal To","Exp Date","Estimated Price","Estimated Taxes","Estimated Total Price","Pre- Arr Req","Notes"
"Bahamas","EXUMA ISLAND","MYEF","ODYSSEY AVIATION","1","800","18-Feb-26","6.836","0","6.836",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil. 2) Ramps serviced:All Ramps 3) Additional Information: Nil. For more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","EXUMA ISLAND","MYEF","ODYSSEY AVIATION","801","1500","18-Feb-26","6.786","0","6.786",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil. 2) Ramps serviced:All Ramps 3) Additional Information: Nil. For more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","EXUMA ISLAND","MYEF","ODYSSEY AVIATION","1501","3000","18-Feb-26","6.736","0","6.736",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil. 2) Ramps serviced:All Ramps 3) Additional Information: Nil. For more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","EXUMA ISLAND","MYEF","ODYSSEY AVIATION","3001","999999999","18-Feb-26","6.686","0","6.686",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil. 2) Ramps serviced:All Ramps 3) Additional Information: Nil. For more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NORTH ELEUTHERA","MYEH","WHITE CROWN AVIATION","1","999999999","24-Feb-26","6.5803","0","6.5803",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil. 2) Ramps serviced:Only GA Ramp 3) Additional Information: Nil. for more information, please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","FREEPORT","MYGF","FREEPORT AIRPORT DEV CO LTD","1","999999999","27-Feb-26","6.294","0","6.294",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced: All Ramps 3) Additional Information: Nil for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","ODYSSEY AVIATION","1","800","18-Feb-26","5.3296","0","5.3296",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:Only Odissey Ramp 3) Additional Information: After 2100 local-Overtime Fee will be charged Base On The Aircraft Type for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","ODYSSEY AVIATION","801","1500","18-Feb-26","5.2796","0","5.2796",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:Only Odissey Ramp 3) Additional Information: After 2100 local-Overtime Fee will be charged Base On The Aircraft Type for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","ODYSSEY AVIATION","1501","3000","18-Feb-26","5.2296","0","5.2296",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:Only Odissey Ramp 3) Additional Information: After 2100 local-Overtime Fee will be charged Base On The Aircraft Type for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","ODYSSEY AVIATION","3001","999999999","18-Feb-26","5.1796","0","5.1796",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:Only Odissey Ramp 3) Additional Information: After 2100 local-Overtime Fee will be charged Base On The Aircraft Type for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","JET NASSAU","1","1500","18-Feb-26","4.7996","0","4.7996",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:All Ramps 3) Additional Information: Operational hours: 24/7 for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","JET NASSAU","1501","3000","18-Feb-26","4.6496","0","4.6496",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:All Ramps 3) Additional Information: Operational hours: 24/7 for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","NASSAU","MYNN","JET NASSAU","3001","999999999","18-Feb-26","4.4596","0","4.4596",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required:Nil 2) Ramps serviced:All Ramps 3) Additional Information: Operational hours: 24/7 for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bahamas","SAN SALVADOR","MYSM","JET NASSAU","1","999999999","17-Mar-26","9.16","0","9.16",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/N/A"
"Barbados","BRIDGETOWN","TBPB","IAM CARIBBEAN INC","1","999999999","01-Mar-26","3.3408","0","3.3408",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/JET-A available ONLY 1) Minimum Notice Required: Nil 2) Ramps serviced: Own ramp. Cannot fuel if the handler is M-JETS 3) Additional Information: Corporate Flights Only for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Barbados","BRIDGETOWN","TBPB","MJET AVIATION INC","1","999999999","01-Mar-26","3.4708","0","3.4708",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/JET-A available ONLY 1) Minimum Notice Required: 6 Hours from Private flight/ 48 hours for Commercial flight. 2) Ramps serviced: Fuel is provided to aircrafts they handle at their facility only. 3) Additional Information: Nil. for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Barbados","BRIDGETOWN","TBPB","PRIVATE AIRCRAFT SERVICES, INC.","1","999999999","01-Mar-26","3.3708","0","3.3708",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/JET-A available ONLY 1) Minimum Notice Required: Nil 2) Ramps serviced: Own Ramp 3) Additional Information: Corporate Flights Only for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Barbados","BRIDGETOWN","TBPB","RUBIS","1","999999999","12-Feb-26","2.6262","0","2.6262",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/N/A"
"Bermuda","SAINT GEORGES","TXKF","SOL AVIATION SERVICES LTD-APRON 4","1","999999999","01-Mar-26","3.7754","0","3.7754",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required: Nil. 2) Ramps serviced: Apron-4 3) Additional Information: Nil. For more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Bonaire, Sint Eustatius and Saba","BONAIRE","TNCB","CUROIL","1","999999999","03-Mar-26","3.1792","0","3.1792",,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**/1) Minimum Notice Required: At least 30 min in advance 2) Ramps serviced: All. 3) Additional Information: General aviation ramp operated by Jet Centre Curacao For more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Canada","SAULT STE MARIE","CYAM","EXECUTIVE AVIATION FUELS LTD","1","999999999","09-Mar-26","4.05919","0.7372542","4.79644",," **Price for fuel item: JETA-ADDITIVE**/1) Operating Hours:HRS: 0600-1900 DAILY. AVBL AFTER HR CALL OUT CHARGE APPLY 249-889-1244 2) Ramps serviced:ALL 3) Additional Information: FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","SAULT STE MARIE","CYAM","EXECUTIVE AVIATION FUELS LTD","1","999999999","09-Mar-26","4.00384","0.7300642","4.7339",," **Price for fuel item: JET FUEL**/1) Operating Hours:HRS: 0600-1900 DAILY. AVBL AFTER HR CALL OUT CHARGE APPLY 249-889-1244 2) Ramps serviced:ALL 3) Additional Information: FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","SAULT STE MARIE","CYAM","AVJET","1","999999999","09-Mar-26","4.15512","0.7497289","4.90485",," **Price for fuel item: JET FUEL**/N/A"
"Canada","BALE COMEAU","CYBC","AVJET","1","999999999","09-Mar-26","5.43324","1.03640325","6.46964",," **Price for fuel item: JETA-ADDITIVE**/1) Minimum Notice Required: CALL AN HOUR AHEAD FOR FUEL AFTER OPERATING HOURS, PLEASE CALL FUEL24 2) Ramps serviced: GA & COMM RAMP 3) Additional Information: Call FBO for fees/ after hours for more information please contact your local fuel logistics team on fuel24@wfscorp.com"
"Canada","BAGOTVILLE","CYBG","AVJET","1","999999999","09-Mar-26","5.02559","0.975357663","6.00095",," **Price for fuel item: JET FUEL**/1) Fuel Operating Hours:0500-1900L M-F 0800-1600L Weekends 2) Ramps serviced:Civilian side only 3) Additional Information: N/A FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","CHATHAM","CYCH","AIRPORT AUTHORITY","1","999999999","09-Mar-26","5.40482","1.017636","6.42246",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:EVERYWHERE ON THE AIRFIELD 3) Operating Hours: 0700L - 1900L M - F, 0800L - 1800L WEEKENDS 4) Additional Information: FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com .."
"Canada","CHARLO","CYCL","AVJET","1","999999999","09-Mar-26","4.53097","0.8865535","5.41752",," **Price for fuel item: JETA-ADDITIVE**/1) Minimum Notice Required:NONE 2) Ramps serviced:ALL RAMPS 3) Additional Information: PRIST: Pre-mixed FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","DEER LAKE","CYDF","WOODWARD AVIATION SERVICES","1","264.17","09-Mar-26","4.90514","0.942679","5.84782",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:OWN RAMP 11) Additional Information: FSII/Prist Available //UNICOM: 122.20 ** OPERATES 24HRS For more information please contact your local fuel logistics team on fuel24@wfscorp.com .."
"Canada","DEER LAKE","CYDF","WOODWARD AVIATION SERVICES","264.18","528.34","09-Mar-26","4.57301","0.8928595","5.46587",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:OWN RAMP 11) Additional Information: FSII/Prist Available //UNICOM: 122.20 ** OPERATES 24HRS For more information please contact your local fuel logistics team on fuel24@wfscorp.com .."
"Canada","DEER LAKE","CYDF","WOODWARD AVIATION SERVICES","528.35","1320.86","09-Mar-26","4.3516","0.859648","5.21125",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:OWN RAMP 11) Additional Information: FSII/Prist Available //UNICOM: 122.20 ** OPERATES 24HRS For more information please contact your local fuel logistics team on fuel24@wfscorp.com .."
"Canada","DEER LAKE","CYDF","WOODWARD AVIATION SERVICES","1320.87","3170.06","09-Mar-26","4.21321","0.8388895","5.0521",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:OWN RAMP 11) Additional Information: FSII/Prist Available //UNICOM: 122.20 ** OPERATES 24HRS For more information please contact your local fuel logistics team on fuel24@wfscorp.com .."
"Canada","DEER LAKE","CYDF","WOODWARD AVIATION SERVICES","3170.07","6604.3","09-Mar-26","4.07482","0.818131","4.89295",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:OWN RAMP 11) Additional Information: FSII/Prist Available //UNICOM: 122.20 ** OPERATES 24HRS For more information please contact your local fuel logistics team on fuel24@wfscorp.com .."
"Canada","DEER LAKE","CYDF","WOODWARD AVIATION SERVICES","6604.4","999999999","09-Mar-26","3.93644","0.797374","4.73381",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:N/A 2) Ramps serviced:OWN RAMP 11) Additional Information: FSII/Prist Available //UNICOM: 122.20 ** OPERATES 24HRS For more information please contact your local fuel logistics team on fuel24@wfscorp.com .."
"Canada","EDMONTON","CYEG","EDMONTON SHELL AEROCENTRE","1","1585.3","09-Mar-26","3.75465","0.347585","4.10224",,"**Perflight Fees are not included.  HOOK-UP FEE: 32.90436** **Price for fuel item: JETA-ADDITIVE**/1) Minimum Notice Required: NONE 2) Ramps serviced: ONLY THE SHELL RAMP 3) Additional Information: PRIST AVAILABLE There is a 100 CAD no fuel surcharge fee FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","EDMONTON","CYEG","EDMONTON SHELL AEROCENTRE","1585.4","999999999","09-Mar-26","3.55465","0.337585","3.89224",,"**Perflight Fees are not included.  HOOK-UP FEE: 32.90436** **Price for fuel item: JETA-ADDITIVE**/1) Minimum Notice Required: NONE 2) Ramps serviced: ONLY THE SHELL RAMP 3) Additional Information: PRIST AVAILABLE There is a 100 CAD no fuel surcharge fee FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","EDMONTON","CYEG","EDMONTON SHELL AEROCENTRE","1","1585.3","09-Mar-26","3.65965","0.342835","4.00249",,"**Perflight Fees are not included.  HOOK-UP FEE: 32.90436** **Price for fuel item: JET FUEL**/1) Minimum Notice Required: NONE 2) Ramps serviced: ONLY THE SHELL RAMP 3) Additional Information: PRIST AVAILABLE There is a 100 CAD no fuel surcharge fee FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","EDMONTON","CYEG","EDMONTON SHELL AEROCENTRE","1585.4","999999999","09-Mar-26","3.45965","0.332835","3.79249",,"**Perflight Fees are not included.  HOOK-UP FEE: 32.90436** **Price for fuel item: JET FUEL**/1) Minimum Notice Required: NONE 2) Ramps serviced: ONLY THE SHELL RAMP 3) Additional Information: PRIST AVAILABLE There is a 100 CAD no fuel surcharge fee FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
"Canada","EDMONTON","CYEG","EXECUTIVE FLIGHT CENTRE","1","999999999","09-Mar-26","3.11892","0.315798","3.43472",," **Price for fuel item: JET FUEL**/1) Minimum Notice Required:NONE 2) Ramps serviced:Own ramp 3) Additional Information: Unicom 122.95 FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com . ."
"Canada","EDMONTON","CYEG","AIRSIDE FLIGHT SERVICES","1","999999999","09-Mar-26","3.39756","0.329731","3.72729",," **Price for fuel item: JET FUEL**/N/A"
"Canada","FROBISHER BAY","CYFB","FROBISHER BAY TOUCHDOWN SERVICES","1","999999999","22-Jan-26","99999","99999","99999",,"Price expired, Please contact World Fuel Services for updated price. **Price for fuel item: JET FUEL**/1) Minimum Notice Required: 24 hours preferred 2) Ramps serviced: OWN RAMP 3) Additional Information: Prist is available. Call FBO in advance to arrange fuel, after hours service is also available. FOR MORE INFORMATION PLEASE CONTACT YOUR LOCAL FUEL LOGISTICS TEAM AT fuel24@wfscorp.com"
